question,answer,level,correctness,clarity,terminology,efficiency,keywords
7. How do you use Undo and Redo in Excel?,"Undo allows you to reverse your last action (Ctrl + Z), while Redo re-applies an undone action (Ctrl + Y). These shortcuts are useful for correcting mistakes or reapplying changes.",,7.0,7.0,0.0,10.0,undo redo undo redo undo
10. How do you merge cells in Excel?,"Tomerge cells, select the cells you want to combine and clickMerge & Centerin the Home tab. This is often used for creating headings or labels.",,10.0,10.0,0.0,10.0,cells want combine merge cells
12. How do you wrap text in a cell?,"Towrap text, select a cell and clickWrap Textin the Home tab. This adjusts the cell content to fit within its boundaries without spilling over into adjacent cells.",,0.0,10.0,0.0,10.0,correctness clarity terminology efficiency correctness
13. What are cell references in Excel?,"Cell referencesspecify a cell’s location in a formula. Relative references (e.g., A1) adjust when copied, absolute references (e.g., $A$1) remain fixed, and mixed references (e.g., $A1) partially adjust.",,1.0,1.0,1.0,0.0,what cell references cell referencesspecify
14. How do you delete a worksheet?,"Right-click the sheet tab and selectDelete.Deleting a sheetpermanently removes its data, so it’s recommended to back up your workbook first.",,0.0,10.0,0.0,10.0,correctness clarity terminology efficiency correctness
16. What is a formula in Excel?,"A formula is an expression that calculates the value of a cell. It begins with=and can include operators, cell references, and functions (e.g.,=A1+B1).",,1.0,1.0,0.0,10.0,what formula formula expression that
17. What is conditional formatting in Excel?,"Conditional formattinghighlights cells based on rules you set. For example, you can apply red shading to cells with values less than 50 usingHome > Conditional Formatting.",,0.0,10.0,0.0,10.0,correctness clarity terminology efficiency correctness
19. How do you apply filters in Excel?,"To filter data, select your dataset and clickData > Filter. Dropdown arrows appear, allowing you to filter rows based on specific criteria.",,0.0,10.0,0.0,10.0,filter data select your dataset
20. What is the VLOOKUP function?,"VLOOKUPsearches for a value in the first column of a table and returns a value from a specified column in the same row. For example,=VLOOKUP(""Apple"", A1:C10, 2, FALSE)looks for ""Apple"" in column A and returns the corresponding value from column B.",,0.0,10.0,0.0,10.0,vlookupsearches value first column table
24. How do you remove duplicates in Excel?,"Select your data, then go toData > Remove Duplicates. This helps clean datasets by eliminating redundant entries based on selected columns.",,0.0,10.0,0.0,10.0,correctness clarity terminology efficiency correctness
25. What is data validation?,"Data validationrestricts data entry to specified types or ranges. For instance, you can limit a cell to accept only whole numbers between 1 and 100.",,0.0,10.0,0.0,10.0,correctness clarity terminology efficiency correctness
30. How do INDEX and MATCH work together?,"INDEXreturns the value of a cell at a specified row and column, while MATCH finds the position of a value in a range. Combined, they perform advanced lookups. For example,=INDEX(A1:C10, MATCH(""Apple"", A1:A10, 0), 2)finds ""Apple"" in column A and returns the corresponding value from column B.",,1.0,10.0,1.0,10.0,index match work together indexreturns
33. What is the TEXT function?,"The TEXT function converts a number to text in a specified format. For example,=TEXT(A1, ""MM/DD/YYYY"")converts a date into a readable format like 01/01/2025.",,1.0,1.0,1.0,0.0,text function converts number text
42. What is the NETWORKDAYS function?,"The NETWORKDAYS function calculates the number of working days between two dates, excluding weekends and holidays. For example,=NETWORKDAYS(A1, A2, Holidays)returns the count of workdays between A1 and A2.",,1.0,2.0,1.0,2.0,networkdays function calculates number working
45. How do you calculate CAGR (Compound Annual Growth Rate) in Excel?,"CAGR is calculated using the formula=(Ending Value / Starting Value)^(1/Number of Years) - 1. For example,=(20000 / 10000)^(1/5) - 1calculates a 14.87% CAGR over five years.",,1.0,1.0,1.0,5.0,calculate cagr compound annual growth
50. How do you use the DATEDIF function?,"DATEDIF calculates the difference between two dates in years, months, or days. For example,=DATEDIF(A1, B1, ""Y"")returns the number of years between two dates.",,1.0,1.0,0.0,10.0,datedif returns number years between
51. What is the FILTER function?,"The FILTER function dynamically returns rows or columns based on criteria. For example,=FILTER(A1:A10, B1:B10=""Yes"")filters rows where column B equals ""Yes.""",,0.0,10.0,0.0,10.0,correctness clarity terminology efficiency correctness
66. How do you split names into first and last names?,"UseText to Columnsor formulas like=LEFT(A1, FIND("" "", A1)-1)for the first name and=RIGHT(A1, LEN(A1)-FIND("" "", A1))for the last name.",,1.0,1.0,1.0,1.0,usetext columnsor formulas like left
68. What is the MAKEARRAY function in Excel?,"MAKEARRAY creates an array based on a custom formula. For example,=MAKEARRAY(3, 3, LAMBDA(row, col, row*col))generates a 3x3 array with the product of row and column numbers.",,3.0,3.0,3.0,3.0,what makearray function makearray creates
70. How do you calculate moving averages?,"UseAVERAGEwith dynamic ranges or the Analysis ToolPak for a built-in Moving Average feature. For example,=AVERAGE(A1:A3)calculates a 3-period moving average.",,1.0,3.0,3.0,0.0,average calculates period moving average
