Question,Answer,Type
1. What is Microsoft Excel?,"Microsoft Excelis a spreadsheet application used for organizing, analyzing, and visualizing data. It provides tools for creating calculations, charts, and data models, making it an essential tool for professionals in various industries.",Beginner
2. What is a cell in Excel?,"A cell is the smallest unit in an Excel worksheet, located at the intersection of a row and column. It’s where you enter data, which can be text, numbers, or formulas. Each cell is identified by its address, such as A1.",Beginner
3. How do you save a file in Excel?,"You can save your file using theexcel shortcutCtrl + Sor by navigating toFile > Save As. This allows you to save your work in various formats, including .xlsx, .xls, or .csv.",Beginner
4. What is a workbook in Excel?,A workbook is an Excel file that contains one or more worksheets. It allows you to organize related data into multiple sheets for easier analysis and management.,Beginner
5. How do you insert a new worksheet?,"To insert a worksheet, click the+button at the bottom of the screen or use the shortcutShift + F11. This creates a blank worksheet within the same workbook.",Beginner
6. What is the Ribbon in Excel?,"The Ribbon is the toolbar at the top of Excel that contains various tabs and commands. It is divided into sections like Home, Insert, Data, and Formulas, each offering specific tools for your tasks.",Beginner
7. How do you use Undo and Redo in Excel?,"Undo allows you to reverse your last action (Ctrl + Z), while Redo re-applies an undone action (Ctrl + Y). These shortcuts are useful for correcting mistakes or reapplying changes.",Beginner
8. What is the shortcut for copying data?,UseCtrl + Cto copy andCtrl + Vto paste data. This is a quick way to duplicate data or formulas between cells.,Beginner
9. What is the formula bar in Excel?,The formula bar is a field at the top of the Excel window that displays the contents of the selected cell. It’s especially useful for viewing and editing formulas.,Beginner
10. How do you merge cells in Excel?,"Tomerge cells, select the cells you want to combine and clickMerge & Centerin the Home tab. This is often used for creating headings or labels.",Beginner
11. What is the difference between a column and a row?,"Columns are vertical sections identified by letters (A, B, C), while rows are horizontal sections identified by numbers (1, 2, 3). Together, they form the grid of an Excel worksheet.",Beginner
12. How do you wrap text in a cell?,"Towrap text, select a cell and clickWrap Textin the Home tab. This adjusts the cell content to fit within its boundaries without spilling over into adjacent cells.",Beginner
13. What are cell references in Excel?,"Cell referencesspecify a cell’s location in a formula. Relative references (e.g., A1) adjust when copied, absolute references (e.g., $A$1) remain fixed, and mixed references (e.g., $A1) partially adjust.",Beginner
14. How do you delete a worksheet?,"Right-click the sheet tab and selectDelete.Deleting a sheetpermanently removes its data, so it’s recommended to back up your workbook first.",Beginner
15. How do you adjust column width?,Drag the boundary of a column header to resize it manually or double-click the boundary to auto-adjust based on the longest cell content.,Beginner
16. What is a formula in Excel?,"A formula is an expression that calculates the value of a cell. It begins with=and can include operators, cell references, and functions (e.g.,=A1+B1).",Intermediate
